key,latitude,longitude,jun,sep,dez
135,41.8485916,-87.6168807,720,540,360
136,41.8485916,-87.6156744,720,540,360
137,41.8485916,-87.6144682,195,40,0
138,41.8485916,-87.6132619,26,0,0
139,41.8494899,-87.6398,156,365,360
140,41.8494899,-87.6385937,720,540,360
141,41.8494899,-87.6373874,0,0,0
142,41.8494899,-87.6361812,288,384,358
143,41.8494899,-87.6349749,720,540,360
144,41.8494899,-87.6337686,676,540,360
145,41.8494899,-87.6325623,652,540,359
146,41.8494899,-87.6313561,327,236,180
147,41.8494899,-87.6301498,0,0,0
148,41.8494899,-87.6289435,0,0,0
149,41.8494899,-87.6277372,0,0,0
150,41.8494899,-87.6265309,720,537,360
151,41.8494899,-87.6253247,17,0,0
152,41.8494899,-87.6241184,170,124,0
153,41.8494899,-87.6229121,75,59,5
154,41.8494899,-87.6217058,720,540,360
155,41.8494899,-87.6204996,720,540,360
156,41.8494899,-87.6192933,720,540,360
157,41.8494899,-87.618087,263,196,150
158,41.8494899,-87.6168807,720,540,360
159,41.8494899,-87.6156744,720,540,360
160,41.8494899,-87.6144682,720,540,360
161,41.8494899,-87.6132619,162,85,0
162,41.8503882,-87.6398,0,33,51
163,41.8503882,-87.6385937,720,540,360
164,41.8503882,-87.6373874,0,0,0
165,41.8503882,-87.6361812,718,539,360
166,41.8503882,-87.6349749,714,540,360
167,41.8503882,-87.6337686,183,188,321
168,41.8503882,-87.6325623,425,540,360
169,41.8503882,-87.6313561,53,225,176
170,41.8503882,-87.6301498,0,0,0
171,41.8503882,-87.6289435,0,0,0
172,41.8503882,-87.6277372,0,0,0
173,41.8503882,-87.6265309,0,192,346
174,41.8503882,-87.6253247,8,8,108
175,41.8503882,-87.6241184,316,369,341
176,41.8503882,-87.6229121,534,443,299
177,41.8503882,-87.6217058,720,540,360
178,41.8503882,-87.6204996,720,540,360
179,41.8503882,-87.6192933,720,540,360
180,41.8503882,-87.618087,720,540,360
181,41.8503882,-87.6168807,720,540,360
182,41.8503882,-87.6156744,720,540,360
183,41.8503882,-87.6144682,720,540,360
184,41.8503882,-87.6132619,95,61,103
185,41.8512865,-87.6398,0,0,0
186,41.8512865,-87.6385937,0,0,0
187,41.8512865,-87.6373874,88,64,116
188,41.8512865,-87.6361812,213,169,223
189,41.8512865,-87.6349749,216,337,315
190,41.8512865,-87.6337686,720,540,360
191,41.8512865,-87.6325623,719,540,360
192,41.8512865,-87.6313561,256,178,140
193,41.8512865,-87.6301498,33,0,0
194,41.8512865,-87.6289435,720,540,360
195,41.8512865,-87.6277372,0,0,0
196,41.8512865,-87.6265309,720,540,356
197,41.8512865,-87.6253247,0,0,0
198,41.8512865,-87.6241184,0,4,324
199,41.8512865,-87.6229121,720,540,360
200,41.8512865,-87.6217058,720,540,360
201,41.8512865,-87.6204996,720,540,360
202,41.8512865,-87.6192933,720,540,360
203,41.8512865,-87.618087,380,214,360
204,41.8512865,-87.6168807,720,540,360
205,41.8512865,-87.6156744,720,540,360
206,41.8512865,-87.6144682,720,540,360
207,41.8512865,-87.6132619,40,19,64
208,41.8521848,-87.6398,720,540,360
209,41.8521848,-87.6385937,0,0,0
210,41.8521848,-87.6373874,236,120,0
211,41.8521848,-87.6361812,31,0,0
212,41.8521848,-87.6349749,323,209,129
213,41.8521848,-87.6337686,31,0,195
214,41.8521848,-87.6325623,121,0,360
215,41.8521848,-87.6313561,206,97,117
216,41.8521848,-87.6301498,21,0,3
217,41.8521848,-87.6289435,0,0,69
218,41.8521848,-87.6277372,22,0,0
219,41.8521848,-87.6265309,158,91,94
220,41.8521848,-87.6253247,720,540,360
221,41.8521848,-87.6241184,720,540,360
222,41.8521848,-87.6229121,178,178,115
223,41.8521848,-87.6217058,720,540,360
224,41.8521848,-87.6204996,720,533,356
225,41.8521848,-87.6192933,720,540,360
226,41.8521848,-87.618087,720,540,360
227,41.8521848,-87.6168807,720,540,360
228,41.8521848,-87.6156744,720,540,360
229,41.8521848,-87.6144682,673,540,360
230,41.8521848,-87.6132619,712,540,360
231,41.8530831,-87.6398,38,0,0
232,41.8530831,-87.6385937,0,0,0
233,41.8530831,-87.6373874,0,0,0
234,41.8530831,-87.6361812,0,0,0
235,41.8530831,-87.6349749,0,0,0
236,41.8530831,-87.6337686,720,540,360
237,41.8530831,-87.6325623,720,540,360
238,41.8530831,-87.6313561,0,0,0
239,41.8530831,-87.6301498,29,0,0
240,41.8530831,-87.6289435,30,0,0
241,41.8530831,-87.6277372,25,0,0
242,41.8530831,-87.6265309,364,240,178
243,41.8530831,-87.6253247,117,0,0
244,41.8530831,-87.6241184,720,540,360
245,41.8530831,-87.6229121,720,540,360
246,41.8530831,-87.6217058,145,0,197
247,41.8530831,-87.6204996,189,0,278
248,41.8530831,-87.6192933,221,0,221
249,41.8530831,-87.618087,213,42,58
250,41.8530831,-87.6168807,720,540,360
251,41.8530831,-87.6156744,720,540,360
252,41.8530831,-87.6144682,109,88,113
253,41.8530831,-87.6132619,720,540,360
254,41.8539814,-87.6398,134,54,37
255,41.8539814,-87.6385937,181,4,17
256,41.8539814,-87.6373874,45,19,0
257,41.8539814,-87.6361812,720,540,360
258,41.8539814,-87.6349749,473,362,291
259,41.8539814,-87.6337686,711,535,357
260,41.8539814,-87.6325623,0,0,47
261,41.8539814,-87.6313561,38,0,0
262,41.8539814,-87.6301498,37,29,0
263,41.8539814,-87.6289435,720,540,360
264,41.8539814,-87.6277372,0,23,108
265,41.8539814,-87.6265309,372,266,164
266,41.8539814,-87.6253247,381,276,159
267,41.8539814,-87.6241184,403,305,235
268,41.8539814,-87.6229121,720,540,360
269,41.8539814,-87.6217058,720,540,360
270,41.8539814,-87.6204996,720,540,360
271,41.8539814,-87.6192933,720,540,360
272,41.8539814,-87.618087,719,540,360
273,41.8539814,-87.6168807,720,540,360
274,41.8539814,-87.6156744,720,540,360
275,41.8539814,-87.6144682,48,28,73
276,41.8539814,-87.6132619,720,540,360
277,41.8548797,-87.6398,0,0,0
278,41.8548797,-87.6385937,0,0,0
279,41.8548797,-87.6373874,0,0,0
280,41.8548797,-87.6361812,0,0,0
281,41.8548797,-87.6349749,0,102,121
282,41.8548797,-87.6337686,674,411,360
283,41.8548797,-87.6325623,0,234,360
284,41.8548797,-87.6313561,0,39,0
285,41.8548797,-87.6301498,23,160,68
286,41.8548797,-87.6289435,107,323,290
287,41.8548797,-87.6277372,78,266,203
288,41.8548797,-87.6265309,45,58,129
289,41.8548797,-87.6253247,720,540,360
290,41.8548797,-87.6241184,720,540,360
291,41.8548797,-87.6229121,0,8,204
292,41.8548797,-87.6217058,719,540,360
293,41.8548797,-87.6204996,720,540,360
294,41.8548797,-87.6192933,720,540,360
295,41.8548797,-87.618087,245,184,303
296,41.8548797,-87.6168807,720,540,360
297,41.8548797,-87.6156744,720,540,359
298,41.8548797,-87.6144682,0,0,41
299,41.8548797,-87.6132619,0,251,360
300,41.855778,-87.6398,66,0,106
301,41.855778,-87.6385937,0,0,0
302,41.855778,-87.6373874,0,0,0
303,41.855778,-87.6361812,0,0,0
304,41.855778,-87.6349749,0,0,0
305,41.855778,-87.6337686,720,540,360
306,41.855778,-87.6325623,94,492,360
307,41.855778,-87.6313561,0,0,0
308,41.855778,-87.6301498,51,0,69
309,41.855778,-87.6289435,0,0,166
310,41.855778,-87.6277372,132,65,170
311,41.855778,-87.6265309,189,204,125
312,41.855778,-87.6253247,720,540,360
313,41.855778,-87.6241184,720,540,360
314,41.855778,-87.6229121,720,540,360
315,41.855778,-87.6217058,720,540,360
316,41.855778,-87.6204996,720,540,360
317,41.855778,-87.6192933,720,540,360
318,41.855778,-87.618087,78,0,115
319,41.855778,-87.6168807,108,34,360
320,41.855778,-87.6156744,46,106,120
321,41.855778,-87.6144682,0,0,0
322,41.855778,-87.6132619,0,0,0
323,41.8566764,-87.6398,720,540,360
324,41.8566764,-87.6385937,720,540,359
325,41.8566764,-87.6373874,19,0,0
326,41.8566764,-87.6361812,0,0,0
327,41.8566764,-87.6349749,13,0,0
328,41.8566764,-87.6337686,0,0,0
329,41.8566764,-87.6325623,64,0,97
330,41.8566764,-87.6313561,29,0,0
331,41.8566764,-87.6301498,91,0,126
332,41.8566764,-87.6289435,130,0,0
333,41.8566764,-87.6277372,111,0,15
334,41.8566764,-87.6265309,165,112,105
335,41.8566764,-87.6253247,720,540,360
336,41.8566764,-87.6241184,542,540,360
337,41.8566764,-87.6229121,200,190,147
338,41.8566764,-87.6217058,30,322,292
339,41.8566764,-87.6204996,720,540,360
340,41.8566764,-87.6192933,719,540,360
341,41.8566764,-87.618087,227,208,127
342,41.8566764,-87.6168807,92,74,0
343,41.8566764,-87.6156744,11,1,0
344,41.8566764,-87.6144682,0,0,0
345,41.8566764,-87.6132619,0,0,0
346,41.8575747,-87.6398,0,0,0
347,41.8575747,-87.6385937,720,540,360
348,41.8575747,-87.6373874,719,540,360
349,41.8575747,-87.6361812,720,540,360
350,41.8575747,-87.6349749,6,37,0
351,41.8575747,-87.6337686,91,178,73
352,41.8575747,-87.6325623,0,50,4
353,41.8575747,-87.6313561,0,0,10
354,41.8575747,-87.6301498,0,0,0
355,41.8575747,-87.6289435,12,309,360
356,41.8575747,-87.6277372,14,0,360
357,41.8575747,-87.6265309,0,0,0
358,41.8575747,-87.6253247,720,540,360
359,41.8575747,-87.6241184,476,540,360
360,41.8575747,-87.6229121,451,538,360
361,41.8575747,-87.6217058,720,540,360
362,41.8575747,-87.6204996,720,540,360
363,41.8575747,-87.6192933,151,228,154
364,41.8575747,-87.618087,62,172,161
365,41.8575747,-87.6168807,4,39,59
366,41.8575747,-87.6156744,0,0,0
