key,latitude,longitude
1,40.802161,-73.942071
2,40.800923,-73.943000
3,40.812869,-73.955807
4,40.860296,-73.926125
5,40.744760,-73.988816
6,40.799692,-73.940069
7,40.732624,-73.996092
8,40.868509,-73.923950
9,40.798286,-73.962716
10,40.717277,-73.987414
11,40.796231,-73.945858
12,40.747308,-73.991587
13,40.758182,-73.989973
14,40.717941,-73.982688
15,40.784867,-73.943530
16,40.718922,-73.994607
17,40.787585,-73.944655
18,40.800912,-73.947020
19,40.712191,-73.986841
20,40.872927,-73.918203
21,40.707632,-74.013068
22,40.791567,-73.974048
23,40.798358,-73.938860
24,40.793834,-73.938138
25,40.847552,-73.931315
26,40.814899,-73.954469
27,40.754947,-73.999982
28,40.742767,-73.982765
29,40.714370,-73.986577
30,40.716950,-73.987158
31,40.801780,-73.949873
32,40.797129,-73.945972
33,40.827501,-73.944123
34,40.738648,-73.993945
35,40.730326,-74.007851
36,40.745673,-73.978014
37,40.727758,-73.979243
38,40.738669,-73.982784
39,40.744080,-73.993558
40,40.717495,-73.978219
41,40.755363,-73.969652
42,40.856657,-73.932473
43,40.808014,-73.950078
44,40.734871,-74.008065
45,40.776520,-73.962573
46,40.748771,-74.004695
47,40.744898,-73.972688
48,40.763716,-73.964991
49,40.784197,-73.973856
50,40.719206,-73.985447
51,40.739206,-74.001249
52,40.753484,-74.004371
53,40.723571,-74.009521
54,40.742131,-73.990931
55,40.759038,-73.986128
56,40.780536,-73.944285
57,40.757486,-74.000729
58,40.737111,-73.994136
59,40.719114,-73.994527
60,40.851303,-73.933906
61,40.722594,-73.995094
62,40.725541,-73.986795
63,40.752825,-74.004681
64,40.745216,-73.992418
65,40.747307,-73.988361
66,40.776835,-73.961738
67,40.802308,-73.946286
68,40.803469,-73.935294
69,40.746893,-73.989888
70,40.769861,-73.992404
71,40.744079,-73.981404
72,40.733812,-73.988435
73,40.714793,-74.009357
74,40.743589,-73.975135
75,40.800350,-73.937782
76,40.821922,-73.939770
77,40.720958,-73.992399
78,40.798179,-73.938445
79,40.705466,-74.011466
80,40.802109,-73.938058
81,40.751823,-73.992569
82,40.738840,-73.992613
83,40.716739,-73.989275
84,40.716720,-73.985646
85,40.745081,-73.987019
86,40.812239,-73.954005
87,40.745729,-73.984056
88,40.746484,-73.991598
89,40.749850,-73.995727
90,40.806806,-73.939181
91,40.718365,-74.000451
92,40.756017,-73.996618
93,40.733488,-74.010240
94,40.862729,-73.928320
95,40.722255,-73.982001
96,40.788652,-73.943802
97,40.717418,-73.997399
98,40.709295,-74.012873
99,40.717069,-73.990235
100,40.752053,-73.983419
101,40.787371,-73.977293
102,40.707437,-74.013194
103,40.737512,-73.996742
104,40.754296,-73.996351
105,40.736429,-73.981983
106,40.754927,-73.997867
107,40.722281,-73.986392
108,40.747544,-73.994063
109,40.803942,-73.936413
110,40.747629,-73.994265
111,40.795098,-73.935414
112,40.823599,-73.941348
113,40.772885,-73.979865
114,40.739167,-74.001119
115,40.709235,-74.006741
116,40.774935,-73.952760
117,40.794451,-73.971945
118,40.752566,-73.982719
119,40.715378,-74.010613
120,40.774117,-73.959036
121,40.765930,-73.980979
122,40.719379,-73.984906
123,40.788668,-73.947658
124,40.754441,-73.973287
125,40.796517,-73.947367
126,40.765340,-73.969759
127,40.727941,-74.008757
128,40.790347,-73.941800
129,40.836829,-73.936848
130,40.747560,-74.005919
131,40.840019,-73.937246
132,40.720130,-73.979361
133,40.801712,-73.939016
134,40.758732,-73.996112
135,40.808846,-73.945963
136,40.740775,-73.991754
137,40.724891,-73.990234
138,40.779255,-73.952894
139,40.809828,-73.943975
140,40.744485,-73.984926
141,40.811647,-73.962535
142,40.747635,-74.006135
143,40.815385,-73.941835
144,40.759761,-73.989835
145,40.777646,-73.951224
146,40.738322,-73.993162
147,40.809462,-73.949463
148,40.746635,-73.988491
149,40.717027,-73.983522
150,40.805197,-73.954816
151,40.745537,-73.987383
152,40.745496,-73.985366
153,40.758577,-73.983100
154,40.745350,-73.981237
155,40.858508,-73.929532
156,40.824901,-73.936704
157,40.807390,-73.942460
158,40.724093,-73.990926
159,40.865947,-73.926075
160,40.808694,-73.949796
161,40.723627,-73.979591
162,40.756503,-73.955621
163,40.752040,-74.002862
164,40.758683,-73.952440
165,40.755347,-73.998603
166,40.754074,-73.999513
167,40.781609,-73.975728
168,40.740048,-73.974368
169,40.814603,-73.938039
170,40.810409,-73.949628
171,40.717766,-73.992551
172,40.745881,-73.977996
173,40.864015,-73.917834
174,40.792373,-73.972376
175,40.709619,-74.009609
176,40.798861,-73.953902
177,40.792001,-73.965467
178,40.717296,-73.987922
179,40.859036,-73.931444
180,40.811337,-73.949902
181,40.720041,-73.989260
182,40.773039,-73.954321
183,40.762972,-73.964104
184,40.806581,-73.938650
185,40.719402,-73.997554
186,40.875161,-73.910426
187,40.718096,-74.001331
188,40.749460,-74.006612
189,40.752032,-73.999004
190,40.817336,-73.953366
191,40.730293,-74.007490
192,40.801363,-73.938192
193,40.774746,-73.954013
194,40.763115,-73.990044
195,40.775605,-73.947347
196,40.752330,-73.984076
197,40.764172,-73.996390
198,40.794981,-73.972584
199,40.820997,-73.945418
200,40.748214,-73.993735
201,40.808595,-73.949557
202,40.761422,-73.978204
203,40.753012,-74.004017
204,40.853883,-73.932960
205,40.709910,-74.012177
206,40.733439,-74.008248
207,40.745685,-73.985813
208,40.745183,-74.008236
209,40.815974,-73.958569
210,40.726168,-74.007494
211,40.759246,-73.982786
212,40.769138,-73.982617
213,40.870513,-73.912431
214,40.757978,-73.979783
215,40.712828,-73.990023
216,40.806730,-73.947066
217,40.761400,-73.966249
