key,latitude,longitude
1,40.77004563,-73.98494997
2,40.77020969,-73.98533807
3,40.76272385,-73.98729652
4,40.77217148,-73.96045571
5,40.7820872,-73.98096428
6,40.72180744,-73.98982976
7,40.77039613,-73.9816267
8,40.77022715,-73.98121826
9,40.77008698,-73.98504779
10,40.77018061,-73.98526929
11,40.78258674,-73.97484011
12,40.7337165,-73.97705764
13,40.72663958,-73.99936836
14,40.7821811,-73.97238977
15,40.78993607,-73.97721169
16,40.74503399,-73.98253015
17,40.73599985,-73.99985935
18,40.80230109,-73.9620798
19,40.71680539,-73.99157275
20,40.77222448,-73.95894426
21,40.77013009,-73.9829175
22,40.7816172,-73.97558535
23,40.78233867,-73.97276286
24,40.7825057,-73.97308773
25,40.71688341,-73.99153287
26,40.80881155,-73.96331506
27,40.78283422,-73.97469909
28,40.71669718,-73.99162805
29,40.76312607,-73.98935258
30,40.80874458,-73.96340334
31,40.80572583,-73.96071917
32,40.81114538,-73.96412322
33,40.73998079,-74.00504966
34,40.72180184,-73.99119881
35,40.78220389,-73.97237311
36,40.74829709,-73.98065645
37,40.79238702,-73.97423449
38,40.78080395,-73.97613836
39,40.80907709,-73.96312072
40,40.77688357,-73.97980287
41,40.77277225,-73.9553271
42,40.76996266,-73.98475372
43,40.73943979,-73.98436755
44,40.73570804,-73.98261517
45,40.77033272,-73.98369364
46,40.76955939,-73.95993924
47,40.72173136,-73.98958224
48,40.78010688,-73.98322688
49,40.76332189,-73.96121439
50,40.78061205,-73.98564087
51,40.77000454,-73.98485279
52,40.77038983,-73.98213047
53,40.76436461,-73.95955458
54,40.74780138,-73.97857966
55,40.76996828,-73.98212294
56,40.76307992,-73.96064456
57,40.76963905,-73.96012717
58,40.78017187,-73.9833793
59,40.72311463,-73.9903307
60,40.76299829,-73.96045231
61,40.76313613,-73.96077693
62,40.76960162,-73.96003888
63,40.75757044,-73.98285452
64,40.72206573,-73.99110017
65,40.76964206,-73.98370686
66,40.77046435,-73.98179161
67,40.74486653,-73.98598251
68,40.76916627,-73.95901189
69,40.76432442,-73.95945923
70,40.75235028,-73.97971637
71,40.73815531,-73.98054734
72,40.77005069,-73.98079175
73,40.77055862,-73.9861635
74,40.71269558,-73.99769319
75,40.76961476,-73.98364215
76,40.79880049,-73.96897589
77,40.71007644,-74.01226648
78,40.80278452,-73.95251716
79,40.73824263,-73.98048352
80,40.77199195,-73.95165745
81,40.78755732,-73.97055355
82,40.78603546,-73.97136276
83,40.71975914,-73.98660086
84,40.739211,-73.98381722
85,40.75019786,-73.97469992
86,40.75041366,-73.97454407
87,40.76814466,-73.99240025
88,40.75689625,-73.98317757
89,40.79952467,-73.971644
90,40.79962299,-73.96965382
91,40.76412273,-73.96117932
92,40.77913077,-73.98090356
93,40.80690345,-73.95739877
94,40.73357762,-73.97672526
95,40.73346807,-73.97646308
96,40.72666328,-73.99941653
97,40.7816867,-73.97549554
98,40.73974645,-73.9850924
99,40.71011368,-74.01235235
100,40.74791179,-73.98052056
101,40.71751014,-73.99597274
102,40.76395531,-73.96078214
103,40.76382569,-73.96047463
104,40.7206881,-73.98224174
105,40.80754134,-73.95861206
106,40.74797175,-74.00705779
107,40.80797914,-73.95964901
108,40.76996863,-73.98208864
109,40.76310829,-73.96071138
110,40.70807232,-74.01779961
111,40.73951749,-74.00396884
112,40.80402101,-73.95281041
113,40.78281017,-73.95150745
114,40.7226696,-73.97718111
115,40.76726396,-73.99030242
116,40.77036254,-73.98154552
117,40.77123388,-73.95966713
118,40.77047459,-73.98596471
119,40.73616366,-73.98067313
120,40.80732247,-73.96719944
121,40.72569708,-73.97909807
122,40.73588436,-73.9995854
123,40.77066826,-73.98642287
124,40.7665429,-73.98637067
125,40.77774504,-73.96095697
126,40.75685573,-73.98308165
127,40.7995744,-73.96953689
128,40.73563404,-73.98266889
129,40.76925783,-73.95922788
130,40.76497172,-73.99067638
131,40.781923,-73.97532346
132,40.80239611,-73.96230577
133,40.74990774,-73.97654061
134,40.76427225,-73.95933547
135,40.74452808,-73.9854111
136,40.72232476,-73.99073674
137,40.80929314,-73.9654983
138,40.77241673,-73.95684834
139,40.77346065,-73.95804293
140,40.77117978,-73.94736721
141,40.7327581,-73.9847638
142,40.78280478,-73.97468132
143,40.78240423,-73.97497302
144,40.73689499,-74.00358611
145,40.7357081,-73.99817893
146,40.76362307,-73.96388853
147,40.78041662,-73.96007527
148,40.76437966,-73.9892713
149,40.78061277,-73.98415749
150,40.73791181,-74.00199676
151,40.74865418,-73.97795891
152,40.7859023,-73.97246071
153,40.71991019,-73.99005439
154,40.73986146,-73.98536217
155,40.7398883,-73.98542513
156,40.76491371,-73.96085724
157,40.76439762,-73.95963287
158,40.77018175,-73.98110854
159,40.77029022,-73.98329815
160,40.77339058,-73.96333908
161,40.80528416,-73.96134249
162,40.77040139,-73.96611252
163,40.78093706,-73.98492381
164,40.73722897,-74.00564484
165,40.75376323,-73.96638946
166,40.74704876,-73.99280743
167,40.7940205,-73.97446103
168,40.72058608,-73.98520399
169,40.79637945,-73.96197027
170,40.70819667,-74.01770609
171,40.73520205,-74.00582898
172,40.74033544,-73.97729531
173,40.78374081,-73.97382001
174,40.75765083,-73.98304478
175,40.71270506,-73.99758497
176,40.77323496,-73.95820514
177,40.80805619,-73.95983152
178,40.76178034,-73.98700411
179,40.73712447,-74.00566547
180,40.77160911,-73.95939435
181,40.76808416,-73.99225614
182,40.77017766,-73.98303059
183,40.80393434,-73.95280608
184,40.80378267,-73.95279851
185,40.72999096,-73.98829794
186,40.77043849,-73.98209704
187,40.76294435,-73.9603253
188,40.76319395,-73.96091309
189,40.76253995,-73.96324927
190,40.78028829,-73.98365234
191,40.75715997,-73.98223654
192,40.78276884,-73.97371081
193,40.77223224,-73.95222734
